   ID      X        Y         U       e(U)     B      e(B)     V      e(V)     I      e(I)
--------------------------------------------------------------------------------------------
    1    633.15  1241.65    13.787   0.006  13.676   0.007  13.252   0.010  12.633   0.015
    2   1251.87  1391.62    13.361   0.004  13.750   0.008  13.710   0.015  13.519   0.023
    3   1704.11  1172.69    14.142   0.018  13.793   0.018  13.362   0.025  12.779   0.010
    4   1949.32  1157.99    14.045   0.013  13.830   0.006  13.323   0.016  12.672   0.016
    5   1409.41  1719.55    14.042   0.007  13.947   0.004  13.525   0.015  12.920   0.013
    6   1021.20  1677.73    14.249   0.006  14.004   0.010  13.438   0.009  12.658   0.020
    7    850.32  1418.58    14.450   0.006  14.002   0.009  13.595   0.009  12.997   0.020
    8    894.23   214.86    14.506   0.007  14.062   0.005  13.441   0.018  12.600   0.014
    9   1333.41  1360.07    14.225   0.006  14.086   0.005  13.584   0.009  12.895   0.011
   10   1342.41  1446.59    14.347   0.004  14.095   0.006  13.484   0.011  12.740   0.010
   11    268.76   171.55    14.502   0.016  14.113   0.005  13.462   0.018  12.680   0.009
   12     92.37   814.62    14.533   0.010  14.176   0.012  13.589   0.020  12.837   0.020
   13    904.02  1145.28    13.862   0.006  14.219   0.007  14.023   0.010  13.638   0.016
   14   1914.74  1893.49    14.469   0.005  14.226   0.016  13.754   0.023  13.082   0.012
   15   1177.38  1280.34    15.027   0.007  14.255   0.007  13.393   0.008  12.449   0.011
   16    238.49  1272.99    14.590   0.005  14.256   0.008  13.656   0.013  12.813   0.015
   17    693.72  1532.49    14.764   0.006  14.286   0.009  13.727   0.010  13.003   0.023
   18     83.35  1340.87    14.461   0.007  14.299   0.014  13.810   0.018  13.133   0.022
   19    312.33  2006.55    14.146   0.007  14.351   0.010  14.215   0.017  13.891   0.029
   20    744.46  2029.55    14.537   0.012  14.366   0.013  13.861   0.017  13.115   0.035
   21   1273.24  1875.32    14.709   0.009  14.391   0.011  13.748   0.021  12.886   0.020
   22   1835.07  1607.69    15.099   0.008  14.403   0.008  13.588   0.007  12.662   0.012
   23   1982.85   319.94    14.876   0.012  14.417   0.008  13.851   0.025  13.094   0.021
   24    231.30   739.85    14.872   0.010  14.501   0.010  13.886   0.020  13.122   0.017
   25   1759.22  1585.90    15.403   0.008  14.549   0.007  13.664   0.009  12.662   0.013
   26    513.97   746.27    14.981   0.007  14.639   0.007  14.068   0.012  13.252   0.011
   27    470.32   460.43    14.979   0.011  14.677   0.005  14.063   0.011  13.271   0.014
   28   1210.49  1017.07    15.388   0.009  14.691   0.006  13.912   0.007  13.019   0.014
   29    154.31   534.17    15.066   0.013  14.714   0.009  14.110   0.017  13.312   0.020
   30   1863.90  1229.31    15.070   0.010  14.736   0.008  14.102   0.011  13.253   0.017
   31   1332.46   507.70    15.173   0.011  14.779   0.007  14.247   0.013  13.494   0.014
   32     36.31  1906.56    15.017   0.007  14.815   0.011  14.278   0.017  13.520   0.035
   33    534.41  1702.16    15.235   0.006  14.855   0.006  14.295   0.009  13.551   0.024
   34    569.03  1608.71    15.253   0.006  14.871   0.008  14.192   0.010  13.375   0.019
   35   2009.32   947.84    15.215   0.011  14.878   0.010  14.379   0.023  13.657   0.019
   36    311.26   212.41    15.468   0.014  14.899   0.007  14.158   0.019  13.175   0.027
   37   1925.99   901.91    15.393   0.011  14.902   0.008  14.228   0.014  13.410   0.011
   38    720.65   277.19    15.209   0.009  14.912   0.007  14.305   0.012  13.507   0.017
   39    828.73   209.07    15.607   0.010  14.955   0.007  14.133   0.019  13.203   0.019
   40   1019.73   804.06    15.401   0.009  14.967   0.007  14.293   0.010  13.476   0.012
   41   1873.81   847.31    15.444   0.012  14.971   0.007  14.269   0.015  13.448   0.013
   42   1762.80   927.48    15.829   0.013  14.981   0.006  13.792   0.009  12.438   0.011
   43   1350.44   827.54    15.346   0.010  14.989   0.008  14.257   0.012  13.284   0.015
   44   1034.64   352.43    15.390   0.014  14.996   0.017  14.240   0.031  13.238   0.035
   45   1861.50   413.85    15.263   0.007  15.013   0.006  14.393   0.012  13.650   0.011
   46   1507.47  1617.44    16.088   0.007  15.024   0.006  14.020   0.014  12.922   0.009
   47    715.33  1939.47    15.297   0.010  15.019   0.012  14.430   0.016  13.617   0.034
   48    514.63   779.26    15.693   0.010  15.047   0.006  14.228   0.012  13.277   0.017
   49   1736.05  1481.18    15.940   0.009  15.072   0.007  13.938   0.008  12.643   0.010
