  644 444.55 376.40 18.622  1.758  1.468
  656 448.06 381.20 17.054  0.850  1.064 P297, R47
  658 471.02 381.97 18.251  1.014  1.428 P208
  669 310.88 386.45 16.434         1.020 P124, R43
  673 396.46 390.38 18.189  1.107  1.446 P294, R51
  674 268.52 390.38 19.303  2.368  1.602
  679 259.57 394.29 16.926  0.768  1.036 P122
  680 444.46 394.85 17.637  0.924  1.215 P269, R55
  682 405.04 395.65 16.540  1.753  2.024 P126, R53
  684 264.93 396.60 19.391  1.374  1.537
  685 300.35 396.38 15.249  0.455  0.656 F48, P19, R50
  690 237.43 399.50 19.672  1.107  1.621
  694 443.26 401.40 15.746  0.633  0.875 F58, P65, R62
  698 378.28 402.98 16.032  0.809  1.064 P31, R58
  699 412.25 403.38 16.233  0.588  0.826 P127, R60
  705 271.17 406.59 17.897  1.488  1.796
  706 470.47 406.97 18.630  1.183  1.444 P270, R66
  707 214.73 407.62 19.277  1.189  1.380
  708 290.35 407.67 17.729  0.946  1.191
  709 307.58 408.06 18.776  1.144  1.359 R57
  710 467.37 409.50 19.119  1.462  1.697 R67
  711 441.57 409.81 19.934  1.316  1.669
  714 322.62 410.25 17.930  1.071  1.320 R61
  717 273.32 413.24 14.384  0.673  0.978
  719 476.03 415.66 18.188  0.984  1.385 P229, R70
  724 365.38 416.93 19.668  1.281  1.621
  727 369.57 419.83 18.158  1.058  1.299 P116, R69
  728 178.69 420.35 18.743  1.208  1.518
  733 476.49 422.47 16.466  1.015  1.232 P230, R73
  734 438.41 423.40 17.049  1.106  1.302 P228, R72
  735 222.47 426.11 19.352  1.485  1.912
  736 419.18 424.61 17.729  1.153  1.382 P227, R71
  738 474.57 426.31 16.882  0.904  1.136 P231, R77
  740 448.40 426.85 14.805  0.418  0.638 I731, F35, P63, R74
  743 297.27 429.38 20.537  1.509  1.669
  745 415.70 430.40 14.631  0.725  0.954 I732, P43, R75
  746 305.75 430.89 19.847  1.138  1.540
  747 472.73 430.86 15.528  1.365  1.555 P97, R81
  748 220.78 431.27 20.482  1.385  1.689
  754 157.16 432.65 19.308  1.274  1.542
  755 135.47 432.99 19.974  1.519  1.646
  756 442.04 433.91 13.323  0.374  0.687 I736, F16, P62, R82
  759 474.30 435.75 17.290  0.892  1.120 P232, R84
  763 327.60 437.34 16.878  0.727  0.962 P117, R76
  764 366.29 438.46 19.362  1.124  1.527
  768 201.80 439.61 18.178  1.064  1.300
  773 398.98 441.80 18.164  1.001  1.264 P225, R86
  775 371.78 442.27 19.589  1.618  2.531
  779 219.92 445.24 19.656  1.353  1.605
  783 331.80 446.62 18.181  1.002  1.277
  788 483.56 449.05 15.152  1.614  1.744 P96, R98
  790 170.79 450.19 16.908  0.833  1.119 P121
  792 344.89 450.67 16.507  0.979  1.274 P119, R88
  793 440.76 452.31 14.679  0.403  0.613 I744, F33, P61, R99
  795 428.39 454.30 17.231  0.871  1.098 P128, R100
  798 195.01 454.79 14.506  1.153  1.404 I750, P2
  799 338.61 455.20 18.454  1.103  1.358 P118, R85
  801 392.22 455.81 17.051  1.027  1.280 P224, R97
  804 135.84 459.45 16.777  1.562  1.909
  807 449.34 460.89 15.489  0.519  0.732 F52, P60, R104
  808 177.50 461.88 19.426  1.277  1.640
  809 406.78 463.15 20.246  0.979  1.278
  822 343.62 470.59 18.984  1.274  1.465 R105
  824 477.40 471.47 18.359  1.451  1.376
  828 185.49 474.10 18.605  1.165  1.441
  829 156.01 474.31 15.024  1.437  1.710
  830 314.62 475.19 19.462  1.328  1.600 P201, R107
  835 195.33 477.64 19.233  1.154  1.435
  836 474.70 477.29 13.804  0.413  0.672 F24, PQ, R120
  842 231.01 479.90 20.439  1.481  1.546
  844 372.64 480.39 18.834  1.683  1.977 P155, R116
  845 418.16 480.70 17.718  0.929  1.216 P223, R119
  846 364.51 480.54 17.694  0.864  1.118 P266, R114
  847 256.14 480.96 17.384  0.773  1.004
  848 465.28 481.57 16.929  0.983  1.243 P103, R121
  850 445.24 483.09 19.524  1.312  1.610 P151, R122
  851 333.40 483.04 16.687  0.831  1.096 P202, R115
  852 238.20 483.87 18.284  1.067  1.316 P145
  855 392.03 484.85 18.383  1.215  1.510
  857 286.98 485.35 19.452  1.202  1.454
  861 395.43 487.48 16.060  0.573  0.773 P30, R123
  862 367.74 488.05 18.802  1.059  1.383
  864 399.70 489.13 20.202  1.111  1.432
  865 275.85 490.80 19.262  1.458  1.626
  868 369.61 491.99 15.288  0.443  0.660 I759, F46, P24, R126
  870 271.01 492.79 14.614  0.409  0.622 F32, PX
  871 484.79 492.99 19.533  1.079  1.512 R134
  872 168.67 493.05 18.995  1.276  1.491
  873 246.92 493.35 15.429  0.795  1.032 F6, Pc
  874 441.10 493.96 14.267  1.309  1.558 P59, R130
  875 159.53 495.69 14.654  0.935  1.160
  876 479.19 495.86 19.181  1.130  1.740 R136
  878 399.19 496.18 20.295  1.646  1.881 R129
  880 328.07 497.79 19.320  1.172  1.496
  882 382.17 499.40 15.850  0.688  0.963 P29, R132
  883 446.37 499.72 15.911  0.576  0.785 P58, R138
  886 132.25 500.87 14.737  0.460  0.654 I760
  888 242.65 501.09 17.512  0.865  1.192
  893 178.87 504.01 19.482  1.602  1.943
  895 422.32 505.68 19.963  1.365  1.415 R141
  899 126.06 510.02 19.722  1.283  1.591
  901 289.45 510.71 19.685  1.287  1.557
  902 279.96 511.10 16.853  0.850  1.142 P143
  905 319.12 513.26 17.760  1.046  1.270
  909 317.74 515.51 16.408  0.704  0.946 P292, R142
  911 387.22 515.69 18.037  0.957  1.212 P265, R148
  913 485.45 516.84 14.098  0.411  0.602 I772, F25, PR, R159
  916 416.76 519.41 19.358  1.514  1.322
  921 298.70 520.34 18.805  1.611  1.905
  925 334.98 522.56 16.239  0.597  0.775 P267, R154
  926 239.01 523.72 19.431  1.219  1.560
  927 420.78 523.54 16.912  0.727  0.991 P221, R160
  928 266.53 523.62 16.872  0.905  1.122
  929 314.62 524.07 15.585  0.503  0.705 F54, P18, R153
  931 415.69 525.44 14.928  0.828  1.008 F37, P42, R161
  936 308.02 526.36 18.763  1.008  1.318 R156
  937 188.02 527.15 19.110  1.383  1.657
  938 427.82 527.64 19.293  1.239  1.453 R165
  939 145.40 527.85 17.947  1.066  1.400
  940 390.56 528.47 16.586  0.711  0.902 P262, R162
  941 163.29 528.41 19.988  1.353  1.703
  942 204.55 529.16 19.232  1.147  1.484
