#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2017-12-12T18:52:42 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5a3024ea9086	
#INFO	-out.max=1000	
#INFO	queryParameters=12	
#-oc.form=dec
#-out.max=1000
#-nav=cat:J/A+A/372/71&tab:{J/A+A/372/71/table4}&key:source=J/A+A/372/71/table4&HTTPPRM:&&-ref=VIZ5a3024ea9086&-oc.form=dec&-order=I&-out=Seq&-out=Xpos&-out=Ypos&-out=Vmag&-out=V-R&-out=e_Vmag&-out=e_Rmag&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.max=1000&-out.form=; -Separated-Values&
#-source=J/A+A/372/71/table4
#-order=I
#-out=Seq
#-out=Xpos
#-out=Ypos
#-out=Vmag
#-out=V-R
#-out=e_Vmag
#-out=e_Rmag
#

#RESOURCE=yCat_33720071
#Name: J/A+A/372/71
#Title: King 5 and Berkeley 20 UBVRI photometry (Durgapal+, 2001)
#Table	J_A_A_372_71_table4:
#Name: J/A+A/372/71/table4
#Title: Magnitude and colours of the stars in the field of Be 20
#Column	Seq	(I3)	Sequential number in the field	[ucd=meta.id]
#Column	Xpos	(F6.2)	X position (1)	[ucd=pos.cartesian.x;instr.det]
#Column	Ypos	(F6.2)	Y position (1)	[ucd=pos.cartesian.y;instr.det]
#Column	Vmag	(F6.3)	V magnitude	[ucd=phot.mag;em.opt.V]
#Column	V-R	(F6.3)	? (V-R) colour index	[ucd=phot.color;em.opt.V;em.opt.R]
#Column	e_Vmag	(F6.3)	? Photometric error in V filter	[ucd=stat.error]
#Column	e_Rmag	(F6.3)	? Photometric error in R filter	[ucd=stat.error]
Seq;Xpos;Ypos;Vmag;V-R;e_Vmag;e_Rmag
 ;pix;pix;mag;mag;mag;mag
---;------;------;------;------;------;------
  1;  2.26;384.39;18.983; 0.353; 0.017; 0.016
  2;  4.06;285.96;20.724; 0.279; 0.049; 0.056
  3;  7.77;351.19;17.934; 0.911; 0.009; 0.009
  4;  7.95;141.48;17.799; 0.324; 0.020; 0.011
  5;  8.44;417.17;19.746; 0.394; 0.037; 0.026
  6;  9.95; 18.19;16.305; 0.366; 0.015; 0.012
  7; 10.08; 60.82;17.164; 0.334; 0.021; 0.016
  8; 15.78;330.49;19.687; 1.037; 0.020; 0.017
  9; 17.89;162.12;14.768; 0.381; 0.016; 0.006
 10; 18.05;197.72;18.802; 0.326; 0.015; 0.024
 12; 25.21;  8.63;20.479; 0.262; 0.045; 0.037
 13; 26.66; 28.14;19.947; 0.496; 0.032; 0.022
 14; 29.00; 59.46;18.501; 0.323; 0.013; 0.012
 15; 29.87;252.38;18.897; 0.364; 0.020; 0.011
 16; 30.41;217.56;20.502; 0.330; 0.044; 0.029
 17; 34.77;376.82;19.331; 0.345; 0.019; 0.019
 18; 34.89; 20.55;16.272; 0.309; 0.018; 0.008
 19; 35.06; 63.45;17.151; 0.296; 0.007; 0.008
 20; 36.27; 86.78;13.601; 0.341; 0.016; 0.004
 21; 37.72;322.94;21.075; 0.489; 0.060; 0.057
 22; 42.74;243.32;13.356; 0.294; 0.006; 0.004
 24; 46.04;359.84;14.947; 0.410; 0.014; 0.009
 25; 47.27;112.37;18.905; 0.410; 0.014; 0.013
 26; 47.71; 92.17;17.015; 0.678; 0.018; 0.012
 27; 47.79;359.45;17.723; 0.417; 0.027; 0.011
 28; 50.11;  5.94;19.461; 0.361; 0.020; 0.031
 29; 51.84;244.37;20.077; 0.292; 0.033; 0.026
 30; 57.35;308.22;21.126; 0.492; 0.099; 0.061
 31; 61.17;203.53;20.603; 0.520; 0.032; 0.035
 32; 63.51;316.86;20.030; 0.434; 0.029; 0.025
 33; 65.77; 53.03;21.624; 0.613; 0.097; 0.075
 34; 66.31; 75.36;21.558; 0.456; 0.088; 0.107
 35; 70.83;362.40;14.917; 0.380; 0.009; 0.007
 36; 72.42; 94.76;17.013; 0.664; 0.014; 0.010
 37; 72.46;189.26;18.306; 0.466; 0.013; 0.011
 38; 74.07;316.26;16.587; 0.405; 0.012; 0.011
 39; 75.90;395.97;20.222; 0.428; 0.039; 0.035
 40; 80.57;153.79;18.198; 0.492; 0.009; 0.011
 41; 80.93;475.42;18.617; 0.280; 0.013; 0.017
 42; 81.05;206.53;15.338; 0.431; 0.006; 0.006
 43; 82.76;288.34;19.764; 0.354; 0.032; 0.022
 44; 84.61; 53.44;19.427; 0.415; 0.020; 0.022
 45; 86.41;388.46;19.048; 0.779; 0.016; 0.012
 46; 92.55; 38.08;17.622; 0.589; 0.011; 0.009
 47; 95.09;422.42;21.032; 0.397; 0.077; 0.067
 48; 95.63;155.49;18.592; 0.365; 0.013; 0.020
 49; 98.39;250.16;19.035; 0.581; 0.011; 0.015
 50; 98.83;318.87;16.562; 0.367; 0.014; 0.008
 51;100.11;238.29;18.674; 0.355; 0.013; 0.012
 52;100.15;343.07;18.246; 0.438; 0.011; 0.010
 53;102.18;411.81;16.538; 0.429; 0.016; 0.013
 55;104.21;297.83;20.521; 0.395; 0.046; 0.036
 56;105.88;209.21;15.320; 0.414; 0.006; 0.006
 57;106.20;270.01;21.026; 0.274; 0.071; 0.059
 58;107.27;288.53;20.938; 0.448; 0.060; 0.051
 59;108.37;283.31;21.017; 0.363; 0.059; 0.079
 60;109.86;131.44;19.169; 0.389; 0.017; 0.016
 61;113.61;349.55;20.618; 0.549; 0.047; 0.029
 62;113.92;214.30;20.134; 0.487; 0.047; 0.034
 63;113.97;190.01;17.411; 0.293; 0.018; 0.018
 64;119.40;325.12;18.840; 0.350; 0.013; 0.014
 65;122.14;174.15;18.230; 0.326; 0.011; 0.011
 66;124.31;408.08;21.347; 0.612; 0.081; 0.054
 67;124.49;340.64;19.577; 0.605; 0.025; 0.020
 68;126.93;414.42;16.498; 0.380; 0.025; 0.011
 69;128.30;117.58;18.102; 0.352; 0.009; 0.017
 70;129.13; 24.08;18.456; 0.564; 0.014; 0.014
 71;138.09; 88.23;17.064; 0.603; 0.015; 0.013
 72;138.59;199.06;19.318; 0.388; 0.021; 0.016
 73;138.96;192.42;17.415; 0.284; 0.012; 0.008
 74;140.21;180.62;21.064; 0.509; 0.065; 0.050
 75;141.17;170.90;18.302; 0.359; 0.026; 0.012
 76;142.66;152.24;19.589; 0.376; 0.024; 0.016
