
			NGC 7790 - Phelps & Janes 1994

star     x       y      V      B-V    U-B    dV   dBV   dUB   dP   nV nB nU

  607  462.72  358.69 10.675  1.341  0.818  0.00  0.00  0.00 0.29  2  2  2 CE
  787  506.06  448.97 11.075  1.220  0.958  0.00  0.00  0.00 0.04  2  2  2 CF
 1360  206.75  729.39 10.198  0.311 -0.565  0.00  0.00  0.00 0.06  1  1  1 Var
    1  915.58    2.95 19.374  1.003 99.999  0.00  0.00  0.00 0.09  1  1  0
    2   99.53    3.39 18.541  1.023 -0.003  0.00  0.00  0.00 0.38  1  1  1
    3  624.07    3.55 18.285  0.976  0.598  0.00  0.00  0.00 0.19  1  1  1
    4  468.52    4.36 19.604  1.775 99.999  0.01  0.01  0.00 0.22  2  2  0
    5  956.31    4.68 16.654  0.836  0.320  0.00  0.00  0.00 0.22  1  1  1
    6  313.72    4.99 16.561  1.388  1.223  0.00  0.00  0.00 0.24  1  1  1
    7  617.09    5.16 18.035  0.935 99.999  0.00  0.00  0.00 0.15  1  1  0
    8  154.93    6.53 20.656  0.910 99.999  0.00  0.00  0.00 0.52  1  1  0
    9  905.57    6.52 17.209  0.883  0.421  0.00  0.00  0.00 0.13  1  1  1
   10  554.04    9.23 19.580  1.121 99.999  0.00  0.00  0.00 0.42  1  1  0
   11  133.83    9.58 19.230  1.080 99.999  0.00  0.00  0.00 0.36  1  1  0
   12  329.08   11.55 18.568  1.617 99.999  0.00  0.00  0.00 0.18  1  1  0
   13  652.15   12.56 16.376  0.966  0.421  0.00  0.00  0.00 0.16  1  1  1
   14  476.57   12.78 18.672  1.118 99.999  0.00  0.00  0.00 0.20  2  2  0
   15  835.55   12.95 20.331  1.062 99.999  0.00  0.00  0.00 0.48  1  1  0
   16  758.29   13.29 17.080  0.900  0.327  0.00  0.00  0.00 0.14  1  1  1
   17  406.54   13.85 20.505  0.908 99.999  0.00  0.00  0.00 0.43  1  1  0
   18  582.20   15.60 18.637  1.129 99.999  0.00  0.00  0.00 0.08  1  1  0
   19  285.56   15.85 17.226  0.925  0.466  0.00  0.00  0.00 0.18  1  1  1
   20  445.00   15.87 19.294  1.119 99.999  0.00  0.00  0.00 0.45  1  1  0
   21  126.19   15.79 18.108  1.017 99.999  0.00  0.00  0.00 0.15  1  1  0
   22  402.62   16.64 18.846  1.212 99.999  0.00  0.00  0.00 0.08  1  1  0
   23  274.35   17.14 18.273  0.849  0.350  0.00  0.00  0.00 0.21  1  1  1
   24  634.37   17.99 16.150  0.658  0.481  0.00  0.00  0.00 0.12  1  1  1
   25  335.52   18.18 18.061  1.080  0.111  0.00  0.00  0.00 0.22  1  1  1
   26  346.48   19.50 18.344  1.136  0.615  0.00  0.00  0.00 0.36  1  1  1
   27  769.69   19.97 17.800  1.324 99.999  0.00  0.00  0.00 0.13  1  1  0
   28  702.92   19.98 20.466  0.772 99.999  0.00  0.00  0.00 0.03  1  1  0
   29  370.62   20.30 19.335  1.188 99.999  0.00  0.00  0.00 0.12  1  1  0
   30  519.77   20.38 16.903  0.803  0.443  0.00  0.00  0.00 0.17  1  1  1
   31  535.72   20.65 18.908  0.938 99.999  0.00  0.00  0.00 0.01  1  1  0
   32  216.31   20.82 18.926  1.235 99.999  0.00  0.00  0.00 0.35  1  1  0
   33   67.27   21.67 18.494  1.021  0.106  0.00  0.00  0.00 0.31  1  1  1
   34  620.29   21.64 17.154  0.996  0.350  0.00  0.00  0.00 0.33  1  1  1
   35  593.51   21.81 16.704  0.914  0.292  0.00  0.00  0.00 0.11  1  1  1
   36  341.95   21.86 16.224  0.966  0.538  0.00  0.00  0.00 0.11  1  1  1
   37   15.38   21.96 18.939  1.542 99.999  0.00  0.00  0.00 0.19  1  1  0
   38  908.95   22.14 19.501  1.685 99.999  0.00  0.00  0.00 0.21  1  1  0
   39  877.58   23.56 19.840  1.009 99.999  0.00  0.00  0.00 0.30  1  1  0
   40  216.31   23.73 15.354  0.818  0.376  0.00  0.00  0.00 0.07  1  1  1
   41  845.16   23.88 19.378  1.269 99.999  0.00  0.00  0.00 0.15  1  1  0
   42  375.45   24.41 17.603  0.960  0.207  0.00  0.00  0.00 0.42  1  1  1
   43   67.04   25.86 17.932  1.126 99.999  0.00  0.00  0.00 0.20  1  1  0
   44  911.91   27.42 19.657  0.928 99.999  0.00  0.00  0.00 0.12  1  1  0
   45  299.01   28.59 19.298  1.160 99.999  0.00  0.00  0.00 0.15  1  1  0
   46  360.90   29.31 16.078  0.625  0.487  0.00  0.00  0.00 0.06  1  1  1
   47  523.64   29.36 19.320  1.914 99.999  0.00  0.00  0.00 0.08  1  1  0
   48  474.87   30.90 20.681  0.593 99.999  0.00  0.00  0.00 0.33  1  1  0
   49  621.99   31.22 19.474  1.284 99.999  0.00  0.00  0.00 0.18  1  1  0
   50   30.51   31.49 20.084  0.885 99.999  0.00  0.00  0.00 0.18  1  1  0
   51  280.40   32.15 18.595  1.041 99.999  0.00  0.00  0.00 0.18  1  1  0
   52  714.90   32.52 14.904  1.991  2.183  0.00  0.00  0.00 0.19  1  1  1
   53  472.78   33.08 17.321  1.112  0.625  0.01  0.01  0.00 0.29  2  2  2
   54  783.77   33.22 18.135  0.864  0.473  0.00  0.00  0.00 0.15  1  1  1
   55  811.32   34.34 19.467  1.129 99.999  0.00  0.00  0.00 0.34  1  1  0
   56  606.57   35.01 16.687  0.860  0.254  0.00  0.00  0.00 0.04  1  1  1
   57  222.91   36.73 19.531  1.386 99.999  0.00  0.00  0.00 0.33  1  1  0
   58   86.18   37.05 18.025  0.925 99.999  0.00  0.00  0.00 0.08  1  1  0
   59  780.60   37.62 15.626  0.485  0.357  0.00  0.00  0.00 0.08  1  1  1
   60  592.02   38.29 20.178  1.117 99.999  0.00  0.00  0.00 0.17  1  1  0
   61  364.44   38.52 19.891  1.415 99.999  0.00  0.00  0.00 0.19  1  1  0
   62  580.24   38.76 18.089  0.790  0.831  0.00  0.00  0.00 0.29  1  1  1
   63  687.56   41.88 19.308  1.283 99.999  0.00  0.00  0.00 0.16  1  1  0
   64  483.46   42.24 16.477  0.804  0.470  0.00  0.00  0.00 0.07  2  2  2
   65  730.51   42.33 19.402  1.107 99.999  0.00  0.00  0.00 0.24  1  1  0
   66  280.44   42.55 17.026  0.821  0.075  0.00  0.00  0.00 0.22  1  1  1
   67  326.06   42.58 12.547  1.637  1.683  0.00  0.00  0.00 0.03  1  1  1
   68   86.95   43.22 19.424  1.044 99.999  0.00  0.00  0.00 0.29  1  1  0
   69  932.49   43.24 16.771  0.671  0.303  0.00  0.00  0.00 0.14  1  1  1
   70  628.37   44.57 19.763  1.396 99.999  0.00  0.00  0.00 0.51  1  1  0
   71  287.44   44.89 18.389  0.954 99.999  0.00  0.00  0.00 0.10  1  1  0
   72  312.07   45.36 17.970  1.629 99.999  0.00  0.00  0.00 0.26  1  1  0
   73  632.89   46.11 19.203  2.042 99.999  0.00  0.00  0.00 0.33  1  1  0
   74  926.31   46.55 19.219  0.948 99.999  0.00  0.00  0.00 0.06  1  1  0
   75  534.98   47.06 17.927  1.556 99.999  0.00  0.00  0.00 0.31  1  1  0
   76  245.26   47.56 18.978  1.838 99.999  0.00  0.00  0.00 0.33  1  1  0
   77  861.89   47.76 17.429  0.906  0.213  0.00  0.00  0.00 0.11  1  1  1
   78  877.92   49.50 18.281  1.034  0.053  0.00  0.00  0.00 0.15  1  1  1
   79  245.55   51.18 14.941  0.485  0.338  0.00  0.00  0.00 0.05  1  1  1
   80  548.52   52.99 17.950  1.015  0.330  0.00  0.00  0.00 0.22  1  1  1
   81  528.16   54.41 17.955  0.987 99.999  0.00  0.00  0.00 0.07  1  1  0
   82  869.47   55.13 17.528  1.218 99.999  0.00  0.00  0.00 0.03  1  1  0
   83  637.20   55.22 17.136  0.837  0.302  0.00  0.00  0.00 0.08  1  1  1
   84  153.02   55.82 19.567  0.989 99.999  0.00  0.00  0.00 0.31  1  1  0
   85  830.82   56.26 19.089  1.141 99.999  0.00  0.00  0.00 0.27  1  1  0
   86  921.26   57.28 19.412  1.128 99.999  0.00  0.00  0.00 0.30  1  1  0
   87  621.34   57.47 19.645  0.885 99.999  0.00  0.00  0.00 0.48  1  1  0
   88  823.93   57.68 19.616  1.081 99.999  0.00  0.00  0.00 0.18  1  1  0
   89  233.31   58.34 18.061  1.177 99.999  0.00  0.00  0.00 0.02  1  1  0
   90  669.82   58.53 17.502  0.910  0.435  0.00  0.00  0.00 0.18  1  1  1
   91  795.15   58.70 18.175  1.039 -0.014  0.00  0.00  0.00 0.16  1  1  1
   92  586.42   58.91 16.969  0.963  0.510  0.00  0.00  0.00 0.25  1  1  1
   93  872.73   60.67 19.234  1.122 99.999  0.00  0.00  0.00 0.12  1  1  0
   94  212.59   60.96 19.604  1.034 99.999  0.00  0.00  0.00 0.44  1  1  0
   95   32.64   61.27 17.757  1.025 99.999  0.00  0.00  0.00 0.19  1  1  0
   96  714.24   61.78 20.727  0.377 99.999  0.00  0.00  0.00 0.32  1  1  0
   97  825.09   62.13 16.800  0.829  0.334  0.00  0.00  0.00 0.04  1  1  1
   98  257.31   62.90 19.960  0.919 99.999  0.00  0.00  0.00 0.34  1  1  0
   99  594.69   63.41 17.709  0.952  0.432  0.00  0.00  0.00 0.15  1  1  1
  100  217.44   63.65 18.580  1.087 99.999  0.00  0.00  0.00 0.21  1  1  0
  101  560.73   64.24 17.390  1.030  0.668  0.00  0.00  0.00 0.21  1  1  1
  102   58.38   65.13 13.831  0.392  0.021  0.00  0.00  0.00 0.13  1  1  1
  103  264.50   65.76 19.453  1.126 99.999  0.00  0.00  0.00 0.07  1  1  0
  104  455.73   69.36 19.586  1.409 99.999  0.03  0.05  0.00 0.40  2  2  0
  105  875.64   70.48 19.991  1.308 99.999  0.00  0.00  0.00 0.28  1  1  0
  106    6.08   70.79 18.788  1.138 99.999  0.00  0.00  0.00 0.07  1  1  0
  107  517.70   71.16 19.395  1.283 99.999  0.00  0.00  0.00 0.11  1  1  0
  108  402.50   71.96 20.095  0.953 99.999  0.00  0.00  0.00 0.12  1  1  0
  109  643.49   72.67 17.994  1.064 99.999  0.00  0.00  0.00 0.09  1  1  0
  110  139.17   72.95 20.163  0.921 99.999  0.00  0.00  0.00 0.56  1  1  0
  111  335.31   75.09 18.309  1.051 99.999  0.00  0.00  0.00 0.04  1  1  0
  112  191.01   75.29 16.565  0.793  0.325  0.00  0.00  0.00 0.09  1  1  1
  113  899.13   75.89 18.042  1.258 99.999  0.00  0.00  0.00 0.16  1  1  0
  114  208.26   76.51 18.780  1.067 99.999  0.00  0.00  0.00 0.20  1  1  0
  115  126.64   77.14 18.762  1.030 99.999  0.00  0.00  0.00 0.35  1  1  0
  116   17.73   77.48 17.658  1.729 99.999  0.00  0.00  0.00 0.08  1  1  0
  117  373.87   78.27 17.679  1.046  0.777  0.00  0.00  0.00 0.19  1  1  1
  118   79.54   78.74 19.527  1.353 99.999  0.00  0.00  0.00 0.18  1  1  0
  119   71.35   78.85 16.541  0.938  0.514  0.00  0.00  0.00 0.11  1  1  1
  120  810.89   79.69 17.474  0.946  0.173  0.00  0.00  0.00 0.09  1  1  1
  121   10.92   79.83 19.222  0.968 99.999  0.00  0.00  0.00 0.29  1  1  0
  122  894.82   80.49 17.804  1.498 99.999  0.00  0.00  0.00 0.13  1  1  0
  123  449.07   80.56 13.244  1.916  2.536  0.00  0.00  0.00 0.11  1  1  1
  124  128.37   81.04 18.846  1.015 99.999  0.00  0.00  0.00 0.16  1  1  0
  125   88.39   84.14 19.198  1.191 99.999  0.00  0.00  0.00 0.20  1  1  0
  126   43.35   84.61 16.105  0.942  0.505  0.00  0.00  0.00 0.12  1  1  1
  127  439.96   85.30 18.217  0.983 99.999  0.00  0.00  0.00 0.19  1  1  0
  128  882.05   89.43 18.937  1.306 99.999  0.00  0.00  0.00 0.11  1  1  0
  129  556.97   89.90 18.560  1.104 99.999  0.00  0.00  0.00 0.17  1  1  0
  130  136.10   90.77 14.462  0.607  0.453  0.00  0.00  0.00 0.10  1  1  1
  131  861.66   92.88 19.493  1.577 99.999  0.00  0.00  0.00 0.46  1  1  0
  132   25.62   93.69 19.404  1.554 99.999  0.00  0.00  0.00 0.23  1  1  0
  133  236.98   93.83 17.159  0.841  0.527  0.00  0.00  0.00 0.14  1  1  1
  134  792.76   94.10 19.173  1.290 99.999  0.00  0.00  0.00 0.35  1  1  0
  135  740.21   94.74 19.352  1.222 99.999  0.00  0.00  0.00 0.12  1  1  0
  136    8.70   95.82 17.945  1.073  0.840  0.00  0.00  0.00 0.33  1  1  1
  137  176.58   96.58 19.782  1.239 99.999  0.00  0.00  0.00 0.26  1  1  0
  138  275.88   97.27 20.430  0.648 99.999  0.00  0.00  0.00 0.31  1  1  0
  139  289.70   97.22 18.471  1.092  0.174  0.00  0.00  0.00 0.20  1  1  1
  140  612.83   97.43 18.144  1.148  1.151  0.00  0.00  0.00 0.28  1  1  1
  141  467.45   97.90 18.284  1.066  0.160  0.00  0.01  0.00 0.19  2  2  2
  142   94.52   99.38 19.377  1.714 99.999  0.00  0.00  0.00 0.17  1  1  0
  143  741.79  100.53 18.930  1.226 99.999  0.00  0.00  0.00 0.21  1  1  0
  144  277.87  100.74 18.856  1.104 99.999  0.00  0.00  0.00 0.27  1  1  0
  145   59.26  101.11 20.455  1.117 99.999  0.00  0.00  0.00 0.59  1  1  0
  146  657.11  101.37 19.849  0.973 99.999  0.00  0.00  0.00 0.31  1  1  0
  147  109.58  101.54 16.674  1.893  1.943  0.00  0.00  0.00 0.22  1  1  1
  148  664.79  101.65 19.601  1.039 99.999  0.00  0.00  0.00 0.12  1  1  0
  149  807.52  101.88 17.631  0.938  0.280  0.00  0.00  0.00 0.12  1  1  1
  150  850.62  102.13 15.501  0.770  0.220  0.00  0.00  0.00 0.13  1  1  1
  151  875.54  102.57 19.315  1.162 99.999  0.00  0.00  0.00 0.23  1  1  0
  152  529.01  103.71 19.021  1.159 99.999  0.00  0.00  0.00 0.37  1  1  0
  153  760.58  104.04 18.881  1.050 99.999  0.00  0.00  0.00 0.03  1  1  0
  154  592.55  104.85 16.782  0.906  0.374  0.00  0.00  0.00 0.12  1  1  1
  155   31.94  106.41 18.277  1.368 99.999  0.00  0.00  0.00 0.07  1  1  0
  156  473.36  107.15 18.467  1.307 99.999  0.00  0.00  0.00 0.15  2  2  0
  157   22.60  107.42 18.568  1.128 99.999  0.00  0.00  0.00 0.12  1  1  0
  158  601.56  108.04 12.141  1.502  1.471  0.00  0.00  0.00 0.03  1  1  1
  159  208.37  108.52 18.180  1.079  0.647  0.00  0.00  0.00 0.07  1  1  1
  160  168.65  111.34 18.933  0.832 99.999  0.00  0.00  0.00 0.04  1  1  0
  161  956.71  112.20 17.610  1.403 99.999  0.00  0.00  0.00 0.05  1  1  0
  162   91.82  112.29 18.105  0.913  0.633  0.00  0.00  0.00 0.13  1  1  1
  163  558.36  112.26 18.160  1.231 99.999  0.00  0.00  0.00 0.08  1  1  0
  164  269.99  113.67 18.771  1.280 99.999  0.00  0.00  0.00 0.10  1  1  0
  165  115.17  114.05 16.987  0.940  0.349  0.00  0.00  0.00 0.17  1  1  1
  166  631.88  114.38 19.554  1.162 99.999  0.00  0.00  0.00 0.62  1  1  0
  167  159.38  114.30 19.811  0.689 99.999  0.00  0.00  0.00 0.23  1  1  0
  168   11.98  115.55 18.635  1.487 99.999  0.00  0.00  0.00 0.16  1  1  0
  169   24.79  116.25 16.534  1.839 99.999  0.00  0.00  0.00 0.19  1  1  0
  170  651.33  117.10 20.622  0.472 99.999  0.00  0.00  0.00 0.46  1  1  0
  171  654.38  118.01 17.838  1.535 99.999  0.00  0.00  0.00 0.17  1  1  0
  172  381.73  118.59 18.006  0.947 99.999  0.00  0.00  0.00 0.03  1  1  0
  173   25.47  118.88 13.429  0.342 -0.161  0.00  0.00  0.00 0.12  1  1  1
  174  632.99  119.80 16.778  1.573  1.212  0.00  0.00  0.00 0.25  1  1  1
